"dicer","diffcoex","ebcoexpress","ecf","entropy","ftgi","ggm-based","ldgm","magic","mindy","zscore"
0.0869565217391304,0.0416666666666667,0,0.0128205128205128,0.0285714285714286,0,0.000181372993561259,0.111111111111111,0,0,0.0666666666666667
0.140625,0.0865139949109415,0.00192081954967453,0.0576923076923077,0.181818181818182,0.0253164556962025,0,0.0342612419700214,0.115107913669065,0,0.169934640522876
0.0869565217391304,0.0730397422126745,0.00314263724987173,0.0484635645302897,0.108216432865731,0.0238095238095238,0,0.0137772675086108,0.105580693815988,0.013986013986014,0.114803625377644
0.024390243902439,0.025974025974026,0.00207449665672637,0.0449848024316109,0.0481927710843374,0,0,0.00757575757575758,0.0618556701030928,0,0.0459770114942529
0,0,0.00126915057565044,0.0286885245901639,0,0,0.00126892051119369,0,0,0,0
0.0291411042944785,0.240963855421687,0,0.0182341650671785,0.0880195599022005,0,0,0.0952380952380952,0.215827338129496,0,0.177514792899408
0.0907216494845361,0.100398406374502,0.00454629231430853,0.019738209017245,0.197226502311248,0.192857142857143,0,0.084070796460177,0.0694789081885856,0.101413133832086,0.0947521865889213
0,0.0097442143727162,0.000917111465727544,0.0281973816717019,0.0473933649289099,0,0,0,0.037037037037037,0,0.0563380281690141
0.099009900990099,0.0424403183023873,0.00163109963300258,0.0501492537313433,0.0918163672654691,0.0248447204968944,0,0.0497737556561086,0.104838709677419,0,0.113960113960114
0.0515463917525773,0.0877742946708464,0.00494437577255871,0.0528520786335804,0.0961538461538462,0.0428571428571429,0,0.0593220338983051,0.0809248554913295,0.0579710144927536,0.0642570281124498
0,0.0181818181818182,0.00151430258794312,0.0326295585412668,0.0563380281690141,0,0,0.0357142857142857,0,0,0
0.104265402843602,0.0764331210191083,0.00137527385540435,0.0389500423370025,0.0743801652892562,0,0,0.0471976401179941,0.108695652173913,0.0437956204379562,0.110726643598616
0.0930232558139535,0.0584795321637427,0.000578452639190166,0.0258435032304379,0.0489296636085627,0.05,0,0.0666666666666667,0.147368421052632,0.122137404580153,0.0766550522648084
0.0903732809430255,0.0669240669240669,0.00194130925507901,0.0339036258044263,0.0728291316526611,0.0748299319727891,0,0.0333080999242998,0.0821621621621622,0,0.0838574423480084
0.0792540792540792,0.106194690265487,0.000998253057149988,0.0203784570596798,0.0883977900552486,0,0,0.0546448087431694,0.140350877192982,0,0.13
0.0882352941176471,0.0254777070063694,0.00229550169955414,0.047112462006079,0.0631578947368421,0,0,0.0377358490566038,0,0,0
0.0609137055837563,0.0465116279069767,0.000419831304148697,0.0181754631247815,0.0590717299578059,0,0,0.0182232346241458,0.06282722513089,0.0303030303030303,0.0560747663551402
0.0813114754098361,0.0913621262458472,0.00325038090401219,0.0198994095779576,0.0517368810051737,0.144927536231884,0.00875886044516683,0.0296296296296296,0.0930599369085174,0.116941529235382,0.0908413998510797
0.150943396226415,0.120218579234973,0.00265957446808511,0.0526700804681785,0.137931034482759,0,0,0.0332225913621262,0.134453781512605,0.0681818181818182,0.158730158730159
0.0700525394045534,0.0684931506849315,0.00148643626904496,0.0255258804065233,0.0712468193384224,0.0786516853932584,0,0.038781163434903,0.0888888888888889,0,0.09366391184573
0.0441176470588235,0.0332541567695962,0.00272169714594635,0.0232323232323232,0.0587044534412955,0,0,0.0340136054421769,0.0562587904360056,0,0.0579216354344123
0.0524475524475524,0.0579150579150579,0.00114148392910784,0.0302696752889378,0.0553129548762737,0.0634920634920635,0,0.025,0.0778523489932886,0.0454545454545455,0.0804953560371517
0.0198019801980198,0.0319148936170213,0.00451438152973043,0.0288640595903166,0.0534351145038168,0,0,0.0394736842105263,0.028169014084507,0,0.025
0.106508875739645,0.0547945205479452,0.00194232546482668,0.0407102641836293,0.0877742946708464,0,0,0.0454545454545455,0.102564102564103,0,0.121546961325967
0.123953098827471,0.0975609756097561,0.00135878796113866,0.0529848110208407,0.157692307692308,0.0305343511450382,0,0.133333333333333,0.169230769230769,0,0.139088729016787
0.0793103448275862,0.0602582496413199,0.00426900184716426,0.0345842531272995,0.0514705882352941,0.0353982300884956,0,0.0244565217391304,0.0941619585687382,0.0451977401129944,0.0856269113149847
